#,Väljaanne,Kaebuse sisu,Lahendi kuupäev,Lahendi liik,Otsuse sisu,Koodeks,Väljaande nimi
 634 ," Delfi 14.02.16 Kas Savisaar võttis altkäemaksu vastu, aga vastuteenet ei kavatsenudki osutada? "," Kaebaja leiab, et artikkel käsitleb teda kui kurjategijat, kuigi teda ei ole süüdi mõistetud. ",31.03.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei ole rikkunud ajakirjanduseetika koodeksit, sest tegemist on arvamuslooga, mis on analüütiline ja sisaldab hüpoteese. ",[],Delfi
 633 , Postimees 16.02.16 Inglise kolledzi sihtasutus jätkab lastevanematelt annetuste nõudmist ," Kaebaja peab artikli pealkirja eksitavaks. Samuti leiab kaebaja, et pealkiri sisaldab valesid faktiväiteid. ",31.03.16,tauniv,"TAUNIV: Postimees rikkus ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et pealkirjad ei või auditooriumi eksitada. Pressinõukogu leiab, et artiklis oleks pidanud olema täpselt kirjas, kes lapsevanematelt raha küsib ning kas tegu on ikka nõudmisega. Artiklis Pressinõukogu hinnangul ajakirjanduseetika koodeksi rikkumist ei ole. ",['4.11'],Postimees
 632 , LP 23.01.16 Veiko Kulla: bravuuri ja enesekindlust oli ehk liiga palju ," Kaebaja leiab, et artikkel sisaldab tema kohta faktivigu ja sõimu. ",31.03.16,tauniv,"TAUNIV: LP rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu leiab, et Herman Simmi kohta on intervjuus visatud õhku karm faktiline süüdistus (hambaravikabineti sisustuse vargus), mis oleks vajanud Herman Simmi kommentaari. ",['4.2'],Eesti Päevaleht
 631 , Meie Maa 10.01.16 Väljapressija lasi lubatust rohkem metsa maha võtta ," Kaebaja peab artikli pealkirja eksitavaks ja ei ole rahul, et ajakirjanik temalt kommentaari ei küsinud. Kaebaja leiab, et artikkel kirjeldab tema suhtes tehtud kohtuotsuseid teisiti kui need tegelikult on. ",31.03.16,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 1.5., mis näeb ette, et ajakirjandus ei tohi oma tegevusega tekitada kellelegi põhjendamata kannatusi, veendumata, et avalikkusel on tõesti vaja seda infot teada. Pressinõukogu peab põhjendamatuks artiklis kaebaja nimetamist väljapressijaks, sest tegemist on metsaraiet puudutava kohtuotsuse kajastamisega. Samuti jääb arusaamatuks, miks artikkel ilmus, sest selles ei ole viidet värskele kohtuotsusele. ",['1.5'],Meie Maa
 630 , Äripäev 29.01.16 Eesti Energia solgib turgu ," Kaebaja hinnangul on juhtkirjas esitatud tõele mitte vastavat, eksitavat ja moonutatud infot. ",31.03.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Äripäev ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu leiab, et Eesti Energia oleks võinud võtta vastu Äripäeva pakkumise oma seisukohtade avaldamiseks. ",[],Äripäev
 629 ," Delfi, Eesti Päevaleht 23.01.16 Urmas Sutrop: Kremli ajupesu eesmärk on panna eestlased ja venelased ühiselt valitsust kukutama "," Kaebaja leiab, et artiklis on avaldatud Orsent TV kohta valeinfot. ",31.03.16,tauniv,"TAUNIV: Eesti Päevaleht ja Delfi rikkusid ajakirjanduseetika koodeksi punkti 3.5., mis näeb ette, et toimetus kontrollib info tõesust ja allikate usaldusväärsust, seda ka juhul kui materjali autoriks ei ole toimetuse töötaja. Samuti rikkusid Eesti Päevaleht ja Delfi koodeksi punkti 5.3., mis näeb ette, et ebaõige info ilmumise korral tuleb avaldada parandus. Pressinõukogu hinnangul tulnuks Eesti Päevalehel ja Delfil koheselt Orsent OÜ kirjale vea kohta reageerida ning artikkel parandada. Pressinõukogu leiab, et parandusega poolteist kuud viivitamine ei ole põhjendatud. ","['3.5', '5.3']",Delfi
 628 , Äripäev 04.12.15 Tallinn Dollsi hämarad ärikombed ," Kaebajad ei ole rahul, et nende valdavalt positiivsed kommentaarid on pandud negatiivsesse valgusesse. Mari Martin leiab, et artikkel sisaldab faktivigu. ",31.03.16,õigeksmõistev,ÕIGEKSMÕISTEV: Äripäev ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu ei kahtle esitatud materjalide põhjal allikate usaldusväärsuses. Samuti kinnitab ka kaebaja arvete tasumisega hilinemist. Ülejäänud kaebaja poolt viidatud faktivead ei leidnud kinnitust. ,[],Äripäev
 627 ," Eesti Päevaleht 21.12.15 Kahtlus: Paide sihtasutuse juhatuse liikme koht sokutati ""oma poisile"" "," Kaebaja leiab, et artikkel sisaldab tema kohta valeandmeid ja ebatäpsusi. ",31.03.16,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Pressinõukogu leiab, et info kaebaja kohta on artiklis, kaebaja esitatud dokumentides ja toimetuse vastuses vastuoluline ning sellest tulenevalt tekib kahtlus loos oleva väite kohta, et kaebaja on kriminaaluurimise all. Samuti rikkus leht koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. ","['1.4', '4.2']",Eesti Päevaleht
 626 , Delfi 21.01.16 Delfi fotod otsestuudiost: Savisaar ei välista presidendiks kandideerimist ," Kaebaja ei ole rahul, et Delfi tegi pilte salaja toimetuse neljanda korruse akna tagant. Kaebaja märkis, et seetõttu sattuseid kaadrisse inimesed, kes seda poleks soovinud. ",18.02.16,tauniv,"TAUNIV: Delfi rikkus ajakirjanduseetika koodeksi punkti 3.7., mis ütleb, et ajakirjanik hangib heli- ja pildiülesvõtteid ning info avalikult ning erandid on lubatud ülekaaluka avaliku huvi olemasolul, kui materjali pole võimalik teisiti hankida. Pressinõukogu hinnangul ei olnud antud telesaate pildistamisel ülekaalukat avalikku huvi. ",['3.7'],Delfi
 625 ," Eesti Päevaleht 08.01.16 Revisjonikomisjoni liige otsib Põhja-Tallinna ""kadunud arveid"" "," Kaebaja hinnangul on artiklis ja selle pealkirjas ebatäpne, eksitav ja moonutatud info. ",18.02.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Päevaleht ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu leiab, et kaebaja oleks pidanud Eesti Päevalehele antud vastustes välja tooma, et osasid dokumente ei ole, sest nende koostamise kohustus puudus. Pressinõukogu ei pea artikli pealkirja eksitavaks. ",[],Eesti Päevaleht
 624 ," Delfi, Eesti Päevaleht 13.01.16 ""Kremli-meelne ja häälekas ""lastekaitse"" rühib Eesti poliitikasse"" ja seotud artiklid "," Kaebaja hinnangul sisaldavad artiklid tõsiseid süüdistusi ja faktideta väiteid. Kaebaja ei ole rahul, et toimetus ei avaldanud vastulauset. ",18.02.16,õigeksmõistev,ÕIGEKSMÕISTEV: Delfi ja Eesti Päevaleht ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on kaebajale sõna antud ja MTÜ on saanud võimaluse Kremli-meelsuse süüdistused ümber lükata. ,[],Delfi
 623 ," Eesti Ekspress 09.01.16 Mart Sander tasub, hambad ristis, Eesti autorite ühingu arve "," Kaebaja leiab, et artikkel sisaldab moonutatud fakte. Samuti ei ole kaebaja rahul, et leht ei avaldanud kaebaja vastulauset täismahus. ",18.02.16,tauniv,"TAUNIV: Ekspress rikkus ajakirjanduseetika koodeksi punkti 4.4., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Kuigi artikkel sisaldas EAÜ kirja Bel-Etagele, ei küsinud ajakirjanik EAÜ esindajalt teatri CD kohta midagi. Artikli puhul on kirjeldatud seega kahte juhtumit, kuid sõna on antud EAÜle vaid ühe juhtumi osas. Teistes ajakirjanduseetika koodeksi punktides rikkumist ei ole. ",['4.4'],Eesti Ekspress
 622 ," Eesti Päevaleht  11.01.16 Hiigelpettuse süüdistuse saanud suurärimees: tegelikult uuritakse, kuidas rahastatakse IRLi "," Kaebaja leiab, et ajakirjaniku üks küsimus on spekulatiivne, sisaldab valeväiteid ja eksitab lugejaid. ",18.02.16,õigeksmõistev,"ÕIGEKSMÕISTEV:  Päevaleht ei ole eksinud ajakirjanduseetika koodeksi vastu. Tegemist oli intervjuuga ja ajakirjanik esitas selle käigus küsimusi. IRLi puudutav oli intervjueeritava arvamus. Lisaks sai IRL võimaluse vastulauseks, mis avaldati veebis juba samal päeval. ",[],Eesti Päevaleht
 621 , Postimees 02.11.15 Salapärane menetlus Konguta vallas ," Kaebaja leiab, et artikkel on tasakaalust väljas ja poliitiline. Kaebaja hinnangul sisaldab artikkel valet. ",18.02.16,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.1., mis ütleb, et uudised, arvamused ja oletused olgu selgelt eristatavad. Pressinõukogu hinnangul jätab artikkel mulje, nagu oleks vallavanem seotud millegi kahtlasega. Postimees rikkus ka koodeksi punkti 4.11., mis ütleb, et fotod ei või auditooriumi eksitada. Pressinõukogu hinnangul jätab artikli juures olev suur pilt vallavanemast lugejatele mulje, nagu oleks vallavanem kahtlustatav. ","['4.1', '4.11']",Postimees
 620 , Hiiu Leht 29.12.15 Koostöökogu juhataja: Kõpu mäss lõppes happy endiga ," Kaebaja ei ole rahul, et leht avaldas tema arvamuse kooskõlastuseta ning et teda on pealkirjas ja allkirjas omavoliliselt sildistatud ametikohaga. ",21.01.16,õigeksmõistev,ÕIGEKSMÕISTEV: Hiiu Leht ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul on kaebaja esinenud Facebookis ka Hiidlaste Koostöökogu juhatuse esimehena ning kõik Facebookis olev avalik info on tsiteeritav. Lisaks viitas leht avaldatud artikli all ka Facebookile. ,[],Hiiu Leht
 619 , Delfi 19.12.15 FOTOD: Delfi lugeja: miks muutus Tallinna TV logo ratastoolikujuliseks? Kas veidi liiale ei minda juba? ," Kaebaja leiab, et lugu ja selle juures olevad kommentaarid on solvavad. ",21.01.16,tauniv,"TAUNIV: Kuigi Delfi loo kustutas, oli artiklis ikkagi hea ajakirjandustava rikkumine. Pressinõukogu hinnangul rikkus Delfi ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu leiab, et Delfi eksimus seisnes selles, et Tallinna TV-lt logo muutmise kohta selgitust ei küsitud. ",['4.2'],Delfi
 617 ," Elu24, Postimehe veeb 11.12.15 Kaastundeavaldus Eesti naistele! Jaak Madison on suhtes? "," Kaebaja leiab, et artikkel sisaldab tema kohta valefakte ja süüdistust. ",21.01.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Postimees.ee ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu leiab, et artiklis avaldatud ahistamissüüdistus põhines varem Postimehe veebis avaldatul, kus Tallink kinnitas, et sisejuurdluse käigus kogutud materjal toetas ettevõtte töötajate väiteid, mille kohaselt Jaak Madison tungis Tallinkis töötades kajutitesse ja ahistas oma naiskolleege. Pressinõukogu hinnangul on Tallinki sisejuurdluse materjal tõendi tähtsusega. ",[],Postimees
 616 , Äripäev 27.11.15 Õhus veel üks keelatud riigiabi juhtum ," Kaebaja hinnangul on artikli pealkiri ja juhtlause eksitavad, artikkel sisaldab ebaõigeid fakte ning kaebaja ei ole saanud sõna ega võimalust vastulauseks. ",21.01.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Äripäev ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole artiklis esitatud Taastuvenergia Koja ega ka selle liikmete kohta süüdistusi, vaid on kirjeldatud olemasolevat probleemi seoses toetustega. Pressinõukogu arvates ei ole artiklis Taastuvenergia Koja liikmeid süüdistatud ebaseadusliku riigiabi saamises. ",[],Äripäev
 615 , Äripäev 27.11.15 Ossinovski tõmbas pidurit ," Kaebaja hinnangul on eksitavad artikli veebiversioonis oleva foto allkiri ja paberlehe esikülje pealkiri. Kaebaja leiab, et artiklis ei ole tõestatud kaebaja kohta esitatud fakti, et ta aitab oma juhitava erakonnaga isa. ",21.01.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Äripäev ei ole eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on artiklis erinevate osapoolte kommentaarid, samuti antakse sõna Jevgeni Ossinovskile. ",[],Äripäev
 614 ," Eesti Päevaleht 27.10.15 Torma seamatus joogivett ei riku, seda teevad inimesed "," Kaebaja peab artiklit ühepoolseks. Samuti leiab kaebaja, et artikkel ei põhine tõenditega tagatud infol ning sisaldab oletusi ja valeväiteid. ",21.01.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Eesti Päevaleht ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu ei näe alust kahelda artiklis avaldatud keskkonnaministeeriumi esindaja sõnades ja peab allikat usaldusväärseks. Pressinõukogu hinnangul ei ole Torma vallavalitsus antud loo kontekstis osapool, kellelt oleks pidanud kommentaari võtma, sest vallavalitsus ei vastuta erakaevude eest. ",[],Eesti Päevaleht
 612 , Eesti Päevaleht 19.11.15 Vegandieedist tekkinud tervisekahjustused on jõudnud Eesti lasteni ," Kaebaja hinnangul on artiklis ebaõiged faktid ja tema teemapüstitus on kontekstist välja rebitud. Samuti ei ole kaebaja rahul, et jätkuloos on tema infot valesti kajastatud. ",21.01.16,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul olid artiklites kasutatud näited anonüümsed ja need illustreerisid põhiteemat, st veganlusega kaasnevaid terviseprobleeme. Pressinõukogu hinnangul oli Facebooki grupist võetud info kasutamine põhjendatud, sest kuigi grupp oli suletud, siis sai liituda ja infot koguda iga Facebooki kasutaja. Info hankimine sellisel viisil oli Pressinõukogu arvates avalikkuse huvi seisukohalt põhjendatud, sest tegemist on ühiskonnas olulise probleemiga. ",[],Eesti Päevaleht
 611 , Äripäev 15.10.15 Artiklid Luisa Värgi OÜ-st ," Kaebaja hinnangul on artiklid infot moonutavad ja eksitavad. Samuti on neis ebatäpset infot. Kaebaja ei ole rahul, et leht ei avaldanud parandust ega tema vastulauset. ",17.12.15,tauniv,"TAUNIV: Äripäev on loonud lugejatele eksitava mulje nagu Luisa Värgi tegevus oleks seadusega vastuolus, millega rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Pressinõukogu hinnangul on probleem kontekstis, kuhu Äripäev on Luisa Värgi OÜ pannud. ",['1.4'],Äripäev
 610 , Saarte Hääl 05.09.15 Maaomanikud viisid Pakulaiu külarahva eest peitu ," Kaebaja kohta on esitatud süüdistusi, kuid sõna antud ei ole. Kaebaja leiab, et leht ei ole kontrollinud fakte ega allikaid. ",17.12.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi punktide vastu. Artiklis on nii Ly Humala arvamus kui ka Valdeko Humala esindaja Roman Humala kommentaar. Pressinõukogu leiab, et ajakirjanikul ei olnud põhjust kahelda, et Roman Humal on Valdeko Humala esindaja. Lisaks informeeris ajakirjanik lehe väitel mõlemat, et soovib saada kontakti Valdeko Humalaga. ",[],Saarte Hääl
 609 , MK-Estonia 21.10.15 Naisi keelitatakse ostma kallist kosmeetikat: kas tegu on pettusega või mitte - MK-Estonia selgitab ," Kaebaja leiab, et artikkel on negatiivse varjundiga ja sisaldab valefakte. Samuti peab kaebaja eksitavaks artikli pealkirja. ",17.12.15,õigeksmõistev,"ÕIGEKSMÕISTEV: MK-Estonia ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole artikli pealkiri ja juhtlõik eksitavad, sest vastavad loo sisule. Artikkel sisaldab erinevate osapoolte kommentaare ja DeSheli esindajad on saanud oma seisukoha avaldada. ",[],MK-Estonia
 608 , Meie Maa 22.10.15 Kehv praamiliiklus sundis mõisa maha müüma ," Kaebaja leiab, et avaldatud info ei ole tõene, pealkiri on eksitav, infot ei kontrollitud ja kaebajale ei antud sõna. ",17.12.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Meie Maa ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul tuleb artiklist välja, et hoone üheks müümise põhjuseks on kehv praamiliiklus ja seega ei ole artikli pealkiri eksitav. Pressinõukogu hinnangul on artikkel kinnisvara müügi kohta ja seepärast ei olnud lehel põhjust küsida Väinamere Liinide kommentaari. ",[],Meie Maa
 607 , Sakala 31.10.15 Kiin ja Under muutuvas raamatukogus ," Kaebaja hinnangul on artikkel ühekülgne, pealiskaudne ja põhjendamatult negatiivne. Kaebaja ei ole rahul, et tema esimene vastulause avaldati kärbitult ja temaga kooskõlastamata ning teist vastulauset ei avaldatud. ",17.12.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Sakala ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on artikli puhul tegemist kultuurisündmuse arvustusega, mis lubab ajakirjanikul oma arvamust väljendada. Pressinõukogu hinnangul sai Sirje Kiin oma vastulauses piisavalt leheruumi oma seisukoha avaldamiseks. ",[],Sakala
 606 , Lääne Elu 06.11.15 Politsei tabas Taavi Rõivast tappa ähvardanud mehe ," Kaebaja ei ole rahul, et artikli juures oli algselt foto, kus ta peal oli. Kaebaja märkis, et foto näitab teda halvas valguses ja selle avaldamiseks puudus ta vanemate luba. ",17.12.15,tauniv,"TAUNIV: Lääne Elu rikkus ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et fotod ei või auditooriumi eksitada. Pressinõukogu hinnangul oli foto artikli kontekstist erinev. Pressinõukogu tunnustab Lääne Elu toimetust foto kiire eemaldamise eest. ",['4.11'],Lääne Elu
 604 , Postimees 28.10.15 Minister Palo palus Oleg Ossinovskile teenet ," Kaebaja hinnangul sisaldab artikkel tema kohta ebatõeseid ja pahatahtlikke oletusi. Samuti ei ole kaebaja rahul, et talle ei antud võimalust süüdistusi kommenteerida. ",19.11.15,tauniv,"TAUNIV: Postimees rikkus ajakirjanduseetika koodeksi punkti 3.5., mis näeb ette, et toimetus kontrollib, eelkõige kriitilise materjali korral, info tõesust ja allikate usaldusväärsust. Pressinõukogu hinnangul ei kontrollinud Postimees Jevgeni Ossinovski kohta avaldatud infot. Seda tunnistas ka ajakirjanik oma vabanduses. ",['3.5'],Postimees
 603 ," MK-Estonia 11.10.15 Oleg Samorodni järjekordne ""ðedööver"" laimab MK-Estoniat "," Kaebaja hinnangul sisaldab artikkel valeväiteid. Samuti ei ole kaebaja rahul, et ta ei saanud sõna ja leht ei avaldanud tema vastulauset. ",19.11.15,tauniv,"TAUNIV: MK-Estonia rikkus ajakirjanduseetika koodeksi punkti 4.10., mis näeb ette, et tsitaatide kasutamisel originaalist erinevas kontekstis tuleb olla ettevaatlik. Pressinõukogu leiab, et lehes kasutatud tsitaadid ei vasta originaalile. Pressinõukogu hinnangul tuleb tsiteerimisel olla täpne. Pressinõukogu hinnangul MK-Estonia teiste ajakirjanduseetika koodeksi punktide vastu ei eksinud. ",['4.10'],MK-Estonia
 602 , Meie Maa 12.10.15 Ennetähtaegselt vangist vabastatud Liis Haavel astub jälle kohtu ette ," Kaebaja hinnangul on artikkel ja pealkiri eksitavad ja temast on loodud vale pilt. Kaebaja ei ole rahul, et talle sõna ei antud. ",19.11.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Meie Maa ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole artikkel eksitav ega jäta muljet, nagu oleks kaebaja sooritanud uue kuriteo. Artiklist tuleb välja ka kohtusse mineku põhjus. ",[],Meie Maa
 601 , Saarte Hääl 10.10.15 Ennetähtaegselt vangist vabastatud Liis Haavel astub jälle kohtu ette ," Kaebaja hinnangul eksitavad artikkel ja selle pealkiri lugejaid. Kaebaja ei ole rahul, et talle sõna ei antud. ",19.11.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Saarte Hääl ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole artikli pealkiri eksitav. Pressinõukogu hinnangul ei jäta artikkel ka muljet, nagu oleks kaebaja sooritanud uue kuriteo. Artiklist tuleb välja kohtusse mineku põhjus. ",[],Saarte Hääl
 600 , Eesti Ekspress 15.10.15 Enne läheb Jumala päike looja kui ... Liis Haaveli vemburegister ," Kaebaja hinnangul on artikli pealkiri, foto ja fotoallkiri eksitavad. Kaebaja ei ole rahul, et ta sõna ei saanud. ",19.11.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Eesti Ekspress ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei oma kohtumaja nimi pildiallkirjas kogu artikli seisukohast olulist tähtsust ja seega ei eksita lugejaid. Samuti ei pea Pressinõukogu eksitavaks artikli pealkirja, sest tegemist on Liis Haaveli avalikkusele teadaolevate kuritegude loeteluga. ",[],Eesti Ekspress
 599 , Õhtuleht 09.10.15 Ennetähtaegselt vangist vabastatud Liis Haavel astub jälle kohtu ette ," Kaebaja leiab, et artikli pealkiri, foto ja rubriik ""Krimi"" eksitavad auditooriumi. Kaebaja ei ole rahul, et talle sõna ei antud. Samuti sisaldab artikkel valeväiteid, leiab kaebaja. ",19.11.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Õhtuleht ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole avaldatud materjal ega ka foto eksitavad. Samuti 9. oktoobri artikli esitamine krimiuudiste rubriigis. Pressinõukogu hinnangul ei jäta avaldatu muljet, nagu oleks kaebaja sooritanud uue kuriteo. Lugudest tuleb välja ka kohtusse mineku põhjus. ",[],Õhtuleht
 598 , Delfi 09.10.15 Ennetähtaegselt vangist vabastatud pettur Liis Haavel astub jälle kohtu ette ," Kaebaja hinnangul on artikli pealkiri, foto ja video eksitavad. Samuti sisaldab artikkel valeväiteid ja kaebaja ei saanud sõna. ",19.11.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole artikli pealkiri, foto ega video eksitavad. Pressinõukogu hinnangul ei jäta artikkel muljet, nagu oleks kaebaja sooritanud uue kuriteo. Artiklist tuleb välja ka kohtusse mineku põhjus. ",[],Delfi
 596 ," Delfi 08.10.15 MK-Estonia: eelmiseks aastaks vormistas Venemaa saatkond 125 aastatellimust, aga selleks aastaks ei vormistanud ühtegi "," Kaebaja leiab, et artikkel nii eesti kui ka vene keeles sisaldab valeväiteid, kuid väljaanne ei avaldanud tema vastulauseid. Samuti ei ole kaebaja rahul, et talle ei antud võimalust kommentaariks. ",19.11.15,tauniv,"TAUNIV: Delfi rikkus ajakirjanduseetika koodeksi punkti 3.5., mis näeb ette, et toimetus kontrollib, eelkõige kriitilise materjali korral, info tõesust ja allikate usaldusväärsust. Ka juhul kui avaldatava materjali autoriks ei ole toimetuse töötaja, kontrollib toimetus oluliste faktide tõesust. Pressinõukogu hinnangul ei vasta tsitaadid Oleg Samorodni raamatust originaalile. Pressinõukogu leiab, et tsiteerimisel tuleb olla täpne. ",['3.5'],Delfi
 595 ," Delfi 18.10.15 Euroopa Nõukogu raport pani ritta sallimatud Eesti poliitikud: Ligi, Helme, Lukas, Vooglaid ja Nool "," Kaebaja leiab, et artikkel sisaldab tema kohta valeväiteid. Samuti ei ole kaebaja rahul, et ei saanud artiklis sõna. ",19.11.15,tauniv,"TAUNIV: Delfi rikkus ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et pealkirjad ei või auditooriumi eksitada. Pressinõukogu hinnangul seisnes rikkumine pealkirjas selles, et raport ei sisaldanud konkreetselt Varro Vooglaiu nime, raportis oli märgitud sihtasutust. ",['4.11'],Delfi
 594 , Eesti Päevaleht 09.10.15 Riigikogu kantselei võitleb endiselt salvestiste arhiveerimise vastu , Kaebaja hinnangul on artiikkel ja selle pealkiri eskitavad. Samuti on artiklis segamini faktid ja oletused. ,19.11.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Päevaleht ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul ei ole artikli pealkiri eksitav, sest tegelikkuses on Riigikogu kantselei salvestiste arhiveerimise vastu, mis tuleb välja Riigikogu kantselei kirjast. Pressinõukogu hinnangul ei oma antud kontekstis tähtsust kas ollakse sisuliselt arhiveerimise vastu või on põhjuseks raha puudus. ",[],Eesti Päevaleht
 593 ," Lääne Elu 05.10.15 Pangabuss on Virtsu pensionäride viimane võimalus pangaasju ajada, Juhtkiri: Eksitav pressiteade "," Kaebaja leiab, et artikkel ja juhtkiri sisaldavad faktivigu ja valestimõistetavat infot. Kaebaja ei ole rahul, et ei saanud võimalust vastulauseks ja paranduseks. ",19.11.15,tauniv,"TAUNIV: Lääne Elu rikkus artikli pealkirjaga ajakirjanduseetika koodeksi punkti 4.11., mis näeb ette, et pealkirjad ei või auditooriumi eksitada. Antud juhul ei ole viitamine „viimasele võimalusele“ korrektne, see on auditooriumi eksitav. ",['4.11'],Lääne Elu
 592 , Postimees 06.10.15 EKRE kasutab Kremli propagandatrikke: vanad kaadrid serveeritakse uute pähe ," Kaebaja hinnangul pole Postimees kontrollinud info tõestust. Kaebaja leiab, et artikkel sisaldab eksitavat infot ja erakonna esindaja ei saanud sõna. ",19.11.15,õigeksmõistev,"ÕIGEKSMÕISTEV: Postimees ei ole rikkunud ajakirjanduseetika koodeksit. Pressinõukogu leiab, et tegemist on refereeringuga, kus sõna on saanud mõlemad pooled. Pressinõukogu hinnangul ei ole Martin Helme kommentaari kuidagi naeruvääristatud. Samuti on Pressinõukogu hinnangul põhjendatud artikli pealkiri. ",[],Postimees
 591 , Eesti Ekspress 09.09.15 Valuraha küsimine pole väljapressimine ," Kaebaja hinnangul süüdistab artikkel teda alusetult, on temale suunatud jõhkra sõnakasutusega, sisaldab eksitavaid faktivigu. Samuti on eiratud tema süütuse presumptsiooni ja kahjustatud kaebaja au ja väärikust.. ",22.10.15,tauniv,"TAUNIV: Ekspress rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjanik vastutab oma sõnade ja loomingu eest. Pressinõukogu leiab, et üldine eetika ei tohiks ajakirjanike tööst kaduda ja solvavaid väljendeid ei tohiks kasutada. Pressinõukogu hinnangul oli kõigil kaebaja poolt nimetatud sõnadel antud artikli kontekstis halvustav tähendus. ",['1.4'],Eesti Ekspress
 590 , Äripäev 17.09.15 Lambo-mees nõudis tillinaha IP-aadressi ," Kaebaja ei ole rahul, et ei saanud artiklis sõna. Samuti leiab kaebaja, et artikkel sisaldab ebaõigeid väiteid ja tekitab talle põhjendamata kannatusi. Kaebaja peab ebaeetiliseks ka artikli jagamist Twitteris ja Facebookis. ",22.10.15,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 1.5., mis näeb ette, et ajakirjandus ei tohi oma tegevusega tekitada kellelegi põhjendamata kannatusi, veendumata, et avalikkusel on tõesti vaja seda informatsiooni teada. Pressinõukogu peab kommentaaride avaldamist põhjendamatuks ning artikli pealkirja sobimatuks. Samuti rikkus Äripäev koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Kuigi leht parandas osa ebaõigeid väiteid, jäid osad faktivead parandamata (näiteks autot puudutav info). ","['1.5', '1.4']",Äripäev
